Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
172,VTGS,VCC-B,44431,2019-12-13 21:39:33.014,2019-12-13 21:50:16.040,643.026,68.693
173,ODUGS,VCC-C,44430,2019-12-13 22:39:23.356,2019-12-13 22:48:57.368,574.012,16.847
174,ODUGS,VCC-C,44430,2019-12-14 13:40:32.286,2019-12-14 13:51:02.431,630.145,41.611
175,UVAGS,VCC-A,44428,2019-12-14 14:15:25.600,2019-12-14 14:26:08.332,642.732,70.817
176,VTGS,VCC-B,44431,2019-12-14 14:17:51.443,2019-12-14 14:28:31.266,639.823,69.74
177,ODUGS,VCC-C,44430,2019-12-14 15:17:21.537,2019-12-14 15:27:21.046,599.509,20.526
178,UVAGS,VCC-A,44428,2019-12-14 15:52:41.307,2019-12-14 16:02:26.647,585.34,17.101
179,VTGS,VCC-B,44431,2019-12-14 15:55:09.675,2019-12-14 16:04:47.146,577.471,16.27
180,UVAGS,VCC-A,44428,2019-12-14 19:08:26.214,2019-12-14 19:17:25.189,538.975,11.258
181,ODUGS,VCC-C,44430,2019-12-14 20:10:04.008,2019-12-14 20:20:12.967,608.959,23.086
182,UVAGS,VCC-A,44428,2019-12-14 20:44:45.140,2019-12-14 20:55:24.175,639.035,44.184
183,VTGS,VCC-B,44431,2019-12-14 20:47:29.293,2019-12-14 20:57:58.611,629.318,34.943
184,ODUGS,VCC-C,44430,2019-12-14 21:46:25.927,2019-12-14 21:56:50.275,624.348,34.334
185,UVAGS,VCC-A,44428,2019-12-14 22:21:31.746,2019-12-14 22:31:05.075,573.329,16.544
186,VTGS,VCC-B,44431,2019-12-14 22:24:08.314,2019-12-14 22:33:57.964,589.65,20.22
187,ODUGS,VCC-C,44430,2019-12-15 12:48:19.052,2019-12-15 12:58:07.387,588.335,19.934
188,UVAGS,VCC-A,44428,2019-12-15 13:23:32.058,2019-12-15 13:33:54.130,622.072,32.693
189,VTGS,VCC-B,44431,2019-12-15 13:25:59.759,2019-12-15 13:36:17.632,617.873,31.7
190,ODUGS,VCC-C,44430,2019-12-15 14:24:15.795,2019-12-15 14:34:44.069,628.274,34.212
191,UVAGS,VCC-A,44428,2019-12-15 15:00:05.348,2019-12-15 15:10:21.373,616.025,25.583
192,VTGS,VCC-B,44431,2019-12-15 15:02:33.130,2019-12-15 15:12:44.267,611.137,24.76
193,ODUGS,VCC-C,44430,2019-12-15 19:17:26.911,2019-12-15 19:26:58.852,571.941,15.092
194,UVAGS,VCC-A,44428,2019-12-15 19:52:40.023,2019-12-15 20:02:57.586,617.563,25.801
195,VTGS,VCC-B,44431,2019-12-15 19:55:26.453,2019-12-15 20:05:28.222,601.769,21.26
196,ODUGS,VCC-C,44430,2019-12-15 20:53:38.225,2019-12-15 21:04:21.543,643.318,77.657
197,UVAGS,VCC-A,44428,2019-12-15 21:29:07.211,2019-12-15 21:39:30.572,623.361,32.528
198,VTGS,VCC-B,44431,2019-12-15 21:31:48.101,2019-12-15 21:42:18.312,630.211,41.202
199,UVAGS,VCC-A,44428,2019-12-16 12:31:56.930,2019-12-16 12:41:28.941,572.011,16.575
200,VTGS,VCC-B,44431,2019-12-16 12:34:27.347,2019-12-16 12:43:52.195,564.848,15.899
