Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
77,VCC-NET,VCC-A,44428,2019-12-21 17:53:12.895,2019-12-21 18:04:27.826,674.931,38.389
78,VCC-NET,VCC-B,44431,2019-12-21 17:55:55.427,2019-12-21 18:07:12.184,676.757,40.689
79,VCC-NET,VCC-C,44430,2019-12-21 18:49:35.078,2019-12-21 19:00:54.073,678.995,72.208
80,VCC-NET,VCC-A,44428,2019-12-21 19:29:44.485,2019-12-21 19:40:16.520,632.035,25.532
81,VCC-NET,VCC-B,44431,2019-12-21 19:32:28.802,2019-12-21 19:42:55.380,626.578,23.963
82,VCC-NET,VCC-C,44430,2019-12-22 09:52:30.790,2019-12-22 10:01:27.180,536.39,15.057
83,VCC-NET,VCC-A,44428,2019-12-22 10:31:50.050,2019-12-22 10:42:23.869,633.819,39.853
84,VCC-NET,VCC-B,44431,2019-12-22 10:34:30.212,2019-12-22 10:45:07.900,637.688,42.838
85,VCC-NET,VCC-C,44430,2019-12-22 11:27:22.546,2019-12-22 11:38:38.413,675.867,71.751
86,VCC-NET,VCC-A,44428,2019-12-22 12:08:05.728,2019-12-22 12:19:00.135,654.407,29.364
87,VCC-NET,VCC-B,44431,2019-12-22 12:10:50.692,2019-12-22 12:21:42.578,651.886,27.996
88,VCC-NET,VCC-C,44430,2019-12-22 13:05:02.757,2019-12-22 13:14:47.966,585.209,13.245
89,VCC-NET,VCC-C,44430,2019-12-22 16:20:37.933,2019-12-22 16:30:35.228,597.295,13.852
90,VCC-NET,VCC-A,44428,2019-12-22 17:01:08.149,2019-12-22 17:11:56.947,648.798,23.071
91,VCC-NET,VCC-B,44431,2019-12-22 17:03:50.665,2019-12-22 17:14:42.356,651.691,24.016
92,VCC-NET,VCC-C,44430,2019-12-22 17:56:48.185,2019-12-22 18:08:13.319,685.134,77.622
93,VCC-NET,VCC-A,44428,2019-12-22 18:37:25.912,2019-12-22 18:48:39.001,673.089,54.255
94,VCC-NET,VCC-B,44431,2019-12-22 18:40:09.295,2019-12-22 18:51:19.907,670.612,50.329
95,VCC-NET,VCC-C,44430,2019-12-22 19:33:42.594,2019-12-22 19:42:42.711,540.117,12.864
96,VCC-NET,VCC-A,44428,2019-12-23 09:40:24.301,2019-12-23 09:49:54.379,570.078,19.464
97,VCC-NET,VCC-B,44431,2019-12-23 09:43:02.052,2019-12-23 09:52:39.738,577.686,20.722
98,VCC-NET,VCC-C,44430,2019-12-23 10:34:39.385,2019-12-23 10:45:51.885,672.5,86.993
99,VCC-NET,VCC-A,44428,2019-12-23 11:15:40.971,2019-12-23 11:26:54.921,673.95,54.599
100,VCC-NET,VCC-B,44431,2019-12-23 11:18:24.773,2019-12-23 11:29:37.415,672.642,51.109
101,VCC-NET,VCC-C,44430,2019-12-23 12:11:39.267,2019-12-23 12:22:02.010,622.743,18.802
102,VCC-NET,VCC-A,44428,2019-12-23 12:53:35.896,2019-12-23 13:03:05.272,569.376,11.946
103,VCC-NET,VCC-B,44431,2019-12-23 12:56:22.525,2019-12-23 13:05:48.370,565.845,11.642
104,VCC-NET,VCC-C,44430,2019-12-23 15:27:52.645,2019-12-23 15:36:39.081,526.436,10.378
105,VCC-NET,VCC-A,44428,2019-12-23 16:09:01.433,2019-12-23 16:19:14.972,613.539,15.739
106,VCC-NET,VCC-B,44431,2019-12-23 16:11:44.141,2019-12-23 16:22:01.186,617.045,16.249
107,VCC-NET,VCC-C,44430,2019-12-23 17:04:03.772,2019-12-23 17:15:15.902,672.13,37.502
108,VCC-NET,VCC-A,44428,2019-12-23 17:45:14.175,2019-12-23 17:56:41.248,687.073,84.495
109,VCC-NET,VCC-B,44431,2019-12-23 17:47:56.992,2019-12-23 17:59:23.740,686.748,79.075
110,VCC-NET,VCC-C,44430,2019-12-23 18:40:32.027,2019-12-23 18:51:03.664,631.637,25.981
111,VCC-NET,VCC-B,44431,2019-12-24 08:51:48.430,2019-12-24 09:00:20.993,512.563,10.162
112,VCC-NET,VCC-C,44430,2019-12-24 09:42:13.486,2019-12-24 09:52:43.442,629.956,38.287
113,VCC-NET,VCC-A,44428,2019-12-24 10:23:29.163,2019-12-24 10:34:47.001,677.838,77.317
114,VCC-NET,VCC-B,44431,2019-12-24 10:26:11.576,2019-12-24 10:37:29.738,678.162,82.71
115,VCC-NET,VCC-C,44430,2019-12-24 11:18:23.889,2019-12-24 11:29:17.740,653.851,30.017
116,VCC-NET,VCC-A,44428,2019-12-24 12:00:47.995,2019-12-24 12:10:58.606,610.611,16.377
117,VCC-NET,VCC-B,44431,2019-12-24 12:03:34.093,2019-12-24 12:13:41.231,607.138,15.859
118,VCC-NET,VCC-A,44428,2019-12-24 15:16:55.347,2019-12-24 15:26:24.916,569.569,11.567
119,VCC-NET,VCC-B,44431,2019-12-24 15:19:38.445,2019-12-24 15:29:11.612,573.167,11.867
120,VCC-NET,VCC-C,44430,2019-12-24 16:11:19.355,2019-12-24 16:22:04.224,644.869,22.426
121,VCC-NET,VCC-A,44428,2019-12-24 16:53:06.028,2019-12-24 17:04:26.826,680.798,48.741
122,VCC-NET,VCC-B,44431,2019-12-24 16:55:48.532,2019-12-24 17:07:10.638,682.106,52.041
123,VCC-NET,VCC-C,44430,2019-12-24 17:47:33.798,2019-12-24 17:58:46.121,672.323,56.619
124,VCC-NET,VCC-A,44428,2019-12-24 18:29:45.138,2019-12-24 18:39:52.935,607.797,19.908
125,VCC-NET,VCC-B,44431,2019-12-24 18:32:29.853,2019-12-24 18:42:30.733,600.88,18.706
126,VCC-NET,VCC-C,44430,2019-12-25 08:50:10.408,2019-12-25 08:59:32.465,562.057,18.466
127,VCC-NET,VCC-A,44428,2019-12-25 09:31:32.867,2019-12-25 09:42:33.876,661.009,53.341
128,VCC-NET,VCC-B,44431,2019-12-25 09:34:13.623,2019-12-25 09:45:17.105,663.482,57.566
