Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
111,UVAGS,VCC-C,44430,2020-03-28 02:08:44.202,2020-03-28 02:18:17.752,573.55,16.208
112,WFF,VCC-C,44430,2020-03-28 02:09:15.240,2020-03-28 02:18:59.638,584.398,18.561
113,ODUGS,VCC-C,44430,2020-03-28 02:09:20.836,2020-03-28 02:18:49.505,568.669,15.458
114,VTGS,VCC-A,44428,2020-03-28 02:48:04.178,2020-03-28 02:58:01.703,597.525,21.373
115,UVAGS,VCC-A,44428,2020-03-28 02:48:10.065,2020-03-28 02:58:25.901,615.836,27.246
116,WFF,VCC-A,44428,2020-03-28 02:48:40.484,2020-03-28 02:59:03.877,623.393,33.07
117,ODUGS,VCC-A,44428,2020-03-28 02:48:44.467,2020-03-28 02:58:59.685,615.218,26.994
118,VTGS,VCC-B,44431,2020-03-28 02:50:02.721,2020-03-28 03:00:02.445,599.724,22.032
119,UVAGS,VCC-B,44431,2020-03-28 02:50:08.684,2020-03-28 03:00:26.246,617.562,28.164
120,WFF,VCC-B,44431,2020-03-28 02:50:39.108,2020-03-28 03:01:03.949,624.841,34.343
121,ODUGS,VCC-B,44431,2020-03-28 02:50:42.999,2020-03-28 03:01:00.083,617.084,27.963
122,VTGS,VCC-C,44430,2020-03-28 03:44:39.850,2020-03-28 03:55:14.072,634.222,77.846
123,UVAGS,VCC-C,44430,2020-03-28 03:44:49.312,2020-03-28 03:55:25.142,635.83,75.324
124,WFF,VCC-C,44430,2020-03-28 03:45:22.196,2020-03-28 03:55:52.242,630.046,54.844
125,ODUGS,VCC-C,44430,2020-03-28 03:45:22.800,2020-03-28 03:55:57.928,635.128,70.303
126,VTGS,VCC-A,44428,2020-03-28 04:24:19.445,2020-03-28 04:34:43.225,623.78,39.471
127,UVAGS,VCC-A,44428,2020-03-28 04:24:32.550,2020-03-28 04:34:45.631,613.081,29.113
128,ODUGS,VCC-A,44428,2020-03-28 04:25:07.579,2020-03-28 04:35:15.651,608.072,26.652
129,WFF,VCC-A,44428,2020-03-28 04:25:09.877,2020-03-28 04:35:03.719,593.842,22.149
130,VTGS,VCC-B,44431,2020-03-28 04:26:18.829,2020-03-28 04:36:40.737,621.908,37.455
131,UVAGS,VCC-B,44431,2020-03-28 04:26:32.190,2020-03-28 04:36:42.622,610.432,27.762
132,ODUGS,VCC-B,44431,2020-03-28 04:27:07.360,2020-03-28 04:37:12.432,605.072,25.404
133,WFF,VCC-B,44431,2020-03-28 04:27:09.862,2020-03-28 04:37:00.120,590.258,21.157
134,VTGS,VCC-A,44428,2020-03-28 19:25:55.883,2020-03-28 19:35:15.739,559.856,15.728
135,ODUGS,VCC-A,44428,2020-03-28 19:26:05.441,2020-03-28 19:36:06.556,601.115,24.535
136,UVAGS,VCC-A,44428,2020-03-28 19:26:14.670,2020-03-28 19:35:48.188,573.518,17.516
137,WFF,VCC-A,44428,2020-03-28 19:26:25.458,2020-03-28 19:36:23.098,597.64,23.835
138,VTGS,VCC-B,44431,2020-03-28 19:27:51.186,2020-03-28 19:37:15.768,564.582,16.474
139,ODUGS,VCC-B,44431,2020-03-28 19:28:01.802,2020-03-28 19:38:05.920,604.118,25.724
140,UVAGS,VCC-B,44431,2020-03-28 19:28:10.282,2020-03-28 19:37:47.977,577.695,18.325
141,WFF,VCC-B,44431,2020-03-28 19:28:21.783,2020-03-28 19:38:22.462,600.679,24.959
142,VTGS,VCC-C,44430,2020-03-28 20:20:51.773,2020-03-28 20:31:23.499,631.726,75.314
143,UVAGS,VCC-C,44430,2020-03-28 20:21:16.950,2020-03-28 20:31:52.063,635.113,82.054
144,ODUGS,VCC-C,44430,2020-03-28 20:21:26.984,2020-03-28 20:32:01.562,634.578,65.273
145,WFF,VCC-C,44430,2020-03-28 20:21:44.994,2020-03-28 20:32:18.825,633.831,70.561
146,VTGS,VCC-A,44428,2020-03-28 21:01:28.308,2020-03-28 21:11:56.935,628.627,42.497
147,UVAGS,VCC-A,44428,2020-03-28 21:01:55.136,2020-03-28 21:12:25.428,630.292,40.649
148,ODUGS,VCC-A,44428,2020-03-28 21:02:15.190,2020-03-28 21:12:31.940,616.75,28.499
149,WFF,VCC-A,44428,2020-03-28 21:02:30.999,2020-03-28 21:12:50.366,619.367,30.982
150,VTGS,VCC-B,44431,2020-03-28 21:03:27.649,2020-03-28 21:13:55.038,627.389,40.667
151,UVAGS,VCC-B,44431,2020-03-28 21:03:54.521,2020-03-28 21:14:23.558,629.037,39.005
152,ODUGS,VCC-B,44431,2020-03-28 21:04:15.099,2020-03-28 21:14:29.939,614.84,27.5
153,WFF,VCC-B,44431,2020-03-28 21:04:30.757,2020-03-28 21:14:48.442,617.685,29.901
154,VTGS,VCC-C,44430,2020-03-28 21:58:02.267,2020-03-28 22:07:25.868,563.601,15.237
155,UVAGS,VCC-C,44430,2020-03-28 21:58:28.239,2020-03-28 22:07:56.794,568.555,15.522
156,ODUGS,VCC-C,44430,2020-03-28 21:59:03.698,2020-03-28 22:08:00.415,536.717,11.714
157,WFF,VCC-C,44430,2020-03-28 21:59:13.387,2020-03-28 22:08:21.935,548.548,13.099
158,VTGS,VCC-A,44428,2020-03-28 22:39:27.287,2020-03-28 22:48:03.991,516.704,10.065
159,UVAGS,VCC-A,44428,2020-03-28 22:39:50.150,2020-03-28 22:48:37.923,527.773,10.675
160,UVAGS,VCC-B,44431,2020-03-28 22:41:51.069,2020-03-28 22:50:36.489,525.42,10.488
161,UVAGS,VCC-C,44430,2020-03-29 01:13:43.181,2020-03-29 01:22:37.255,534.074,11.406
162,WFF,VCC-C,44430,2020-03-29 01:14:16.133,2020-03-29 01:23:20.733,544.6,12.614
163,ODUGS,VCC-C,44430,2020-03-29 01:14:22.867,2020-03-29 01:23:05.280,522.413,10.429
164,VTGS,VCC-A,44428,2020-03-29 01:54:24.384,2020-03-29 02:03:42.965,558.581,14.073
165,UVAGS,VCC-A,44428,2020-03-29 01:54:29.369,2020-03-29 02:04:13.089,583.72,17.499
166,WFF,VCC-A,44428,2020-03-29 01:55:00.284,2020-03-29 02:04:54.534,594.25,20.157
167,ODUGS,VCC-A,44428,2020-03-29 01:55:05.614,2020-03-29 02:04:45.316,579.702,16.791
168,VTGS,VCC-B,44431,2020-03-29 01:56:22.410,2020-03-29 02:05:43.669,561.259,14.421
169,UVAGS,VCC-B,44431,2020-03-29 01:56:27.438,2020-03-29 02:06:13.425,585.987,17.946
170,WFF,VCC-B,44431,2020-03-29 01:56:58.282,2020-03-29 02:06:54.693,596.411,20.726
171,ODUGS,VCC-B,44431,2020-03-29 01:57:03.531,2020-03-29 02:06:45.802,582.271,17.257
172,VTGS,VCC-C,44430,2020-03-29 02:49:40.873,2020-03-29 03:00:02.012,621.139,35.783
173,UVAGS,VCC-C,44430,2020-03-29 02:49:48.146,2020-03-29 03:00:20.059,631.913,48.688
174,WFF,VCC-C,44430,2020-03-29 02:50:19.101,2020-03-29 03:00:53.386,634.285,64.264
175,ODUGS,VCC-C,44430,2020-03-29 02:50:21.608,2020-03-29 03:00:53.964,632.356,50.082
176,VTGS,VCC-A,44428,2020-03-29 03:30:30.929,2020-03-29 03:41:08.833,637.904,88.909
177,UVAGS,VCC-A,44428,2020-03-29 03:30:40.846,2020-03-29 03:41:18.693,637.847,65.333
178,WFF,VCC-A,44428,2020-03-29 03:31:14.222,2020-03-29 03:41:44.652,630.43,47.554
