Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
74,VCC-NET,VCC-A,44428,2019-12-21 13:00:41.121,2019-12-21 13:11:25.890,644.769,18.706
75,VCC-NET,VCC-B,44431,2019-12-21 13:03:27.020,2019-12-21 13:14:08.401,641.381,18.067
76,VCC-NET,VCC-C,44430,2019-12-21 13:58:52.455,2019-12-21 14:07:34.246,521.791,10.034
77,VCC-NET,VCC-A,44428,2019-12-21 16:16:59.170,2019-12-21 16:26:32.789,573.619,11.469
78,VCC-NET,VCC-B,44431,2019-12-21 16:19:42.535,2019-12-21 16:29:18.973,576.438,11.776
79,VCC-NET,VCC-C,44430,2019-12-21 17:13:22.620,2019-12-21 17:23:58.036,635.416,23.159
80,VCC-NET,VCC-A,44428,2019-12-21 17:53:12.895,2019-12-21 18:04:27.826,674.931,48.201
81,VCC-NET,VCC-B,44431,2019-12-21 17:55:55.427,2019-12-21 18:07:12.184,676.757,51.313
82,VCC-NET,VCC-C,44430,2019-12-21 18:49:35.078,2019-12-21 19:00:54.073,678.995,72.208
83,VCC-NET,VCC-A,44428,2019-12-21 19:29:44.485,2019-12-21 19:40:01.425,616.94,25.532
84,VCC-NET,VCC-B,44431,2019-12-21 19:32:28.802,2019-12-21 19:42:39.374,610.572,23.963
85,VCC-NET,VCC-C,44430,2019-12-22 09:52:30.790,2019-12-22 10:02:07.082,576.292,15.057
86,VCC-NET,VCC-A,44428,2019-12-22 10:31:50.050,2019-12-22 10:42:55.858,665.808,39.853
87,VCC-NET,VCC-B,44431,2019-12-22 10:34:30.212,2019-12-22 10:45:39.089,668.877,42.838
88,VCC-NET,VCC-C,44430,2019-12-22 11:27:22.546,2019-12-22 11:38:55.361,692.815,71.751
89,VCC-NET,VCC-A,44428,2019-12-22 12:08:05.728,2019-12-22 12:19:19.945,674.217,29.364
90,VCC-NET,VCC-B,44431,2019-12-22 12:10:50.692,2019-12-22 12:22:02.115,671.423,27.996
91,VCC-NET,VCC-C,44430,2019-12-22 13:05:02.757,2019-12-22 13:15:09.655,606.898,13.245
92,VCC-NET,VCC-C,44430,2019-12-22 16:20:37.933,2019-12-22 16:30:35.228,597.295,15.56
93,VCC-NET,VCC-A,44428,2019-12-22 17:01:08.149,2019-12-22 17:11:56.947,648.798,27.325
